Table 1
Place,% Insufficient Sleep,Error Margin,state,
Union,32%,31-33%,Mississippi,
Walthall,35%,34-36%,Mississippi,
Warren,36%,35-37%,Mississippi,
Washington,35%,34-36%,Mississippi,
Wayne,36%,35-37%,Mississippi,
Webster,32%,31-33%,Mississippi,
Wilkinson,38%,37-39%,Mississippi,
Winston,36%,35-37%,Mississippi,
Yalobusha,37%,36-38%,Mississippi,
Yazoo,37%,36-38%,Mississippi,
Adair,32%,30-33%,Missouri,
Andrew,30%,29-32%,Missouri,
Atchison,30%,29-31%,Missouri,
Audrain,33%,32-35%,Missouri,
Barry,31%,30-33%,Missouri,
Barton,33%,32-34%,Missouri,
Bates,33%,32-34%,Missouri,
Benton,34%,32-35%,Missouri,
Bollinger,33%,32-34%,Missouri,
Boone,32%,31-33%,Missouri,
Buchanan,34%,33-35%,Missouri,
Butler,35%,34-36%,Missouri,
Caldwell,33%,32-34%,Missouri,
Callaway,33%,32-34%,Missouri,
Camden,31%,30-33%,Missouri,
Cape Girardeau,32%,31-33%,Missouri,
Carroll,34%,33-35%,Missouri,
Carter,33%,32-35%,Missouri,
Cass,31%,30-32%,Missouri,
Cedar,32%,30-33%,Missouri,
Chariton,34%,33-35%,Missouri,
Christian,34%,33-35%,Missouri,
Clark,33%,31-34%,Missouri,
Clay,35%,34-36%,Missouri,
Clinton,32%,31-33%,Missouri,
Cole,33%,32-34%,Missouri,
Cooper,33%,32-34%,Missouri,
Crawford,33%,32-35%,Missouri,
Dade,33%,31-34%,Missouri,
Dallas,33%,32-35%,Missouri,
Daviess,33%,32-34%,Missouri,
DeKalb,34%,33-35%,Missouri,
Dent,33%,32-34%,Missouri,
Douglas,33%,32-34%,Missouri,
Dunklin,35%,34-36%,Missouri,
Franklin,31%,30-33%,Missouri,
Gasconade,32%,30-33%,Missouri,
Gentry,31%,29-32%,Missouri,
Greene,31%,30-32%,Missouri,
Grundy,32%,31-34%,Missouri,
Harrison,33%,32-35%,Missouri,
Henry,32%,30-33%,Missouri,
Hickory,32%,31-33%,Missouri,
Holt,32%,31-33%,Missouri,
Howard,33%,32-34%,Missouri,
Howell,33%,32-35%,Missouri,
Iron,32%,31-33%,Missouri,
Jackson,37%,36-37%,Missouri,
Jasper,35%,34-36%,Missouri,
Jefferson,33%,32-34%,Missouri,
Johnson,30%,29-31%,Missouri,
Knox,32%,30-33%,Missouri,
Laclede,33%,32-34%,Missouri,
Lafayette,33%,32-34%,Missouri,
Lawrence,33%,32-35%,Missouri,
Lewis,33%,32-35%,Missouri,
Lincoln,33%,32-34%,Missouri,
Linn,31%,30-32%,Missouri,
Livingston,32%,31-33%,Missouri,
Macon,32%,31-33%,Missouri,
Madison,33%,32-34%,Missouri,
Maries,33%,32-34%,Missouri,
Marion,33%,32-34%,Missouri,
McDonald,36%,35-37%,Missouri,
Mercer,33%,31-34%,Missouri,
Miller,32%,31-33%,Missouri,
Mississippi,38%,37-39%,Missouri,
Moniteau,32%,31-33%,Missouri,
Monroe,33%,32-34%,Missouri,
Montgomery,33%,32-34%,Missouri,
Morgan,33%,31-34%,Missouri,
New Madrid,36%,35-37%,Missouri,
Newton,34%,33-36%,Missouri,
Nodaway,33%,31-34%,Missouri,
Oregon,34%,32-35%,Missouri,
Osage,31%,30-32%,Missouri,
Ozark,32%,31-34%,Missouri,
Pemiscot,37%,36-38%,Missouri,
Perry,32%,31-34%,Missouri,
Pettis,33%,32-34%,Missouri,
Phelps,33%,32-35%,Missouri,
Pike,33%,32-34%,Missouri,
Platte,33%,32-34%,Missouri,
Polk,33%,31-34%,Missouri,
Pulaski,35%,33-36%,Missouri,
Putnam,33%,31-34%,Missouri,
Ralls,31%,30-33%,Missouri,
Randolph,33%,31-34%,Missouri,
Ray,32%,31-34%,Missouri,
Reynolds,33%,32-34%,Missouri,
Ripley,35%,33-36%,Missouri,
Saline,34%,33-35%,Missouri,
Schuyler,33%,32-34%,Missouri,
Scotland,32%,31-33%,Missouri,
Scott,33%,32-34%,Missouri,
Shannon,34%,33-35%,Missouri,
Shelby,32%,31-34%,Missouri,
St. Charles,32%,31-33%,Missouri,
St. Clair,32%,30-33%,Missouri,
St. Francois,36%,35-38%,Missouri,
St. Louis,32%,31-32%,Missouri,
St. Louis City,37%,37-38%,Missouri,
Ste. Genevieve,32%,30-33%,Missouri,
Stoddard,34%,33-35%,Missouri,
Stone,32%,31-34%,Missouri,
Sullivan,34%,33-35%,Missouri,
Taney,32%,31-33%,Missouri,
Texas,34%,32-35%,Missouri,
Vernon,33%,32-35%,Missouri,
Warren,31%,30-32%,Missouri,
Washington,35%,34-37%,Missouri,
Wayne,32%,31-33%,Missouri,
Webster,33%,32-34%,Missouri,
Worth,32%,31-33%,Missouri,
Wright,33%,32-34%,Missouri,
Beaverhead,26%,25-27%,Montana,
Big Horn,33%,32-34%,Montana,
Blaine,31%,30-32%,Montana,
Broadwater,26%,25-27%,Montana,
Carbon,25%,24-26%,Montana,
Carter,26%,25-27%,Montana,
Cascade,30%,29-31%,Montana,
Chouteau,29%,28-30%,Montana,
Custer,27%,26-28%,Montana,
Daniels,25%,24-26%,Montana,
Dawson,26%,25-27%,Montana,
Deer Lodge,27%,26-28%,Montana,
Fallon,25%,24-26%,Montana,
Fergus,26%,25-27%,Montana,
Flathead,26%,25-27%,Montana,
Gallatin,24%,23-25%,Montana,
Garfield,26%,25-27%,Montana,
Glacier,31%,31-32%,Montana,
Golden Valley,27%,26-28%,Montana,
Granite,26%,25-27%,Montana,
Hill,31%,31-32%,Montana,
Jefferson,25%,24-26%,Montana,
Judith Basin,25%,24-26%,Montana,
Lake,30%,29-30%,Montana,
Lewis and Clark,25%,24-26%,Montana,
Liberty,27%,25-28%,Montana,
Lincoln,26%,25-26%,Montana,
Madison,26%,25-27%,Montana,
McCone,25%,24-27%,Montana,
Meagher,27%,26-28%,Montana,
Mineral,27%,25-28%,Montana,
Missoula,27%,27-28%,Montana,
Musselshell,29%,27-30%,Montana,
Park,28%,27-29%,Montana,
Petroleum,27%,26-28%,Montana,
Phillips,28%,27-29%,Montana,
Pondera,28%,27-29%,Montana,
Powder River,24%,23-25%,Montana,
Powell,27%,26-28%,Montana,
Prairie,28%,27-29%,Montana,
Ravalli,27%,26-28%,Montana,
Richland,30%,29-31%,Montana,
Roosevelt,32%,31-33%,Montana,
Rosebud,30%,29-31%,Montana,
Sanders,27%,27-28%,Montana,
Sheridan,25%,24-26%,Montana,
Silver Bow,28%,27-29%,Montana,
Stillwater,27%,26-28%,Montana,
Sweet Grass,26%,25-27%,Montana,
Teton,28%,27-29%,Montana,
Toole,27%,26-28%,Montana,
Treasure,27%,26-28%,Montana,
Valley,27%,26-28%,Montana,
Wheatland,28%,27-29%,Montana,
Wibaux,26%,25-27%,Montana,
Yellowstone,30%,29-30%,Montana,
Adams,30%,29-31%,Nebraska,
Antelope,25%,24-26%,Nebraska,
Arthur,28%,27-29%,Nebraska,
Banner,27%,26-28%,Nebraska,
Blaine,28%,26-29%,Nebraska,
Boone,27%,26-28%,Nebraska,
Box Butte,31%,30-32%,Nebraska,
Boyd,27%,26-28%,Nebraska,
Brown,29%,28-30%,Nebraska,
Buffalo,27%,26-28%,Nebraska,
Burt,27%,26-28%,Nebraska,
Butler,29%,28-30%,Nebraska,
Cass,30%,29-31%,Nebraska,
Cedar,27%,27-28%,Nebraska,
Chase,27%,26-28%,Nebraska,
Cherry,25%,25-26%,Nebraska,
Cheyenne,27%,26-28%,Nebraska,
Clay,28%,27-29%,Nebraska,
Colfax,27%,27-28%,Nebraska,
Cuming,26%,25-27%,Nebraska,
Custer,26%,25-27%,Nebraska,
Dakota,33%,32-34%,Nebraska,
Dawes,26%,25-27%,Nebraska,
Dawson,28%,27-28%,Nebraska,
Deuel,27%,26-29%,Nebraska,
Dixon,29%,28-30%,Nebraska,
Dodge,31%,30-32%,Nebraska,
Douglas,31%,30-31%,Nebraska,
Dundy,27%,26-28%,Nebraska,
Fillmore,27%,26-28%,Nebraska,
Franklin,28%,26-29%,Nebraska,
Frontier,28%,27-30%,Nebraska,
Furnas,27%,26-28%,Nebraska,
Gage,30%,29-31%,Nebraska,
Garden,26%,25-27%,Nebraska,
Garfield,26%,25-27%,Nebraska,
Gosper,27%,26-28%,Nebraska,
Grant,28%,27-30%,Nebraska,
Greeley,28%,27-29%,Nebraska,
Hall,31%,30-31%,Nebraska,
Hamilton,26%,25-27%,Nebraska,
Harlan,30%,28-31%,Nebraska,
Hayes,27%,26-28%,Nebraska,
Hitchcock,30%,29-31%,Nebraska,
Holt,29%,28-30%,Nebraska,
Hooker,28%,27-29%,Nebraska,
Howard,29%,28-30%,Nebraska,
Jefferson,27%,26-28%,Nebraska,
Johnson,30%,29-31%,Nebraska,
Kearney,29%,28-30%,Nebraska,
Keith,29%,28-30%,Nebraska,
Keya Paha,25%,24-26%,Nebraska,
Kimball,29%,28-30%,Nebraska,
Knox,28%,27-29%,Nebraska,
Lancaster,27%,26-27%,Nebraska,
Lincoln,32%,31-32%,Nebraska,
Logan,26%,25-28%,Nebraska,
Loup,26%,25-28%,Nebraska,
Madison,29%,29-30%,Nebraska,
McPherson,27%,26-28%,Nebraska,
Merrick,28%,27-29%,Nebraska,
Morrill,27%,26-28%,Nebraska,
Nance,29%,27-30%,Nebraska,
Nemaha,27%,26-28%,Nebraska,
Nuckolls,26%,25-27%,Nebraska,
Otoe,28%,27-29%,Nebraska,
Pawnee,29%,27-30%,Nebraska,
Perkins,26%,25-27%,Nebraska,
Phelps,25%,24-26%,Nebraska,
Pierce,28%,27-29%,Nebraska,
Platte,27%,26-27%,Nebraska,
Polk,27%,26-28%,Nebraska,
Red Willow,27%,26-28%,Nebraska,
Richardson,30%,29-31%,Nebraska,
Rock,28%,26-29%,Nebraska,
Saline,29%,28-30%,Nebraska,
Sarpy,31%,31-32%,Nebraska,
Saunders,29%,28-30%,Nebraska,
Scotts Bluff,29%,28-29%,Nebraska,
Seward,27%,26-28%,Nebraska,
Sheridan,29%,28-30%,Nebraska,
Sherman,27%,26-28%,Nebraska,
Sioux,26%,25-27%,Nebraska,
Stanton,29%,28-30%,Nebraska,
Thayer,26%,25-27%,Nebraska,
Thomas,26%,25-27%,Nebraska,
Thurston,32%,31-33%,Nebraska,
Valley,28%,27-29%,Nebraska,
Washington,25%,24-26%,Nebraska,
Wayne,24%,23-25%,Nebraska,
Webster,28%,27-29%,Nebraska,
Wheeler,28%,27-29%,Nebraska,
York,28%,27-29%,Nebraska,
Carson City,34%,33-34%,Nevada,
Churchill,37%,36-38%,Nevada,
Clark,39%,39-40%,Nevada,
Douglas,30%,29-31%,Nevada,
Elko,33%,32-34%,Nevada,
Esmeralda,36%,35-37%,Nevada,
Eureka,33%,32-35%,Nevada,
Humboldt,35%,34-36%,Nevada,
Lander,35%,34-36%,Nevada,
Lincoln,32%,31-34%,Nevada,
Lyon,35%,34-36%,Nevada,
Mineral,35%,34-36%,Nevada,
Nye,35%,34-36%,Nevada,
Pershing,36%,35-37%,Nevada,
Storey,31%,30-32%,Nevada,
Washoe,32%,31-32%,Nevada,
White Pine,35%,34-36%,Nevada,
Belknap,29%,28-30%,New Hampshire,
Carroll,29%,28-30%,New Hampshire,
Cheshire,32%,31-33%,New Hampshire,
Coos,36%,35-37%,New Hampshire,
Grafton,30%,29-31%,New Hampshire,
Hillsborough,33%,32-34%,New Hampshire,
Merrimack,31%,30-32%,New Hampshire,
Rockingham,29%,29-30%,New Hampshire,
Strafford,33%,32-34%,New Hampshire,
Sullivan,31%,30-32%,New Hampshire,
Atlantic,38%,37-39%,New Jersey,
Bergen,38%,38-39%,New Jersey,
Burlington,37%,37-38%,New Jersey,
Camden,41%,40-41%,New Jersey,
Cape May,34%,33-35%,New Jersey,
Cumberland,40%,40-41%,New Jersey,
Essex,44%,44-45%,New Jersey,
Gloucester,37%,36-38%,New Jersey,
Hudson,41%,40-42%,New Jersey,
Hunterdon,34%,33-34%,New Jersey,
Mercer,37%,36-37%,New Jersey,
Middlesex,40%,39-40%,New Jersey,
Monmouth,37%,36-38%,New Jersey,
Morris,33%,33-34%,New Jersey,
Ocean,36%,35-37%,New Jersey,
Passaic,37%,37-38%,New Jersey,
Salem,38%,37-39%,New Jersey,
Somerset,37%,36-38%,New Jersey,
Sussex,40%,39-41%,New Jersey,
Union,39%,39-40%,New Jersey,
Warren,37%,36-38%,New Jersey,
Bernalillo,31%,31-32%,New Mexico,
Catron,27%,26-29%,New Mexico,
Chaves,34%,33-35%,New Mexico,
Cibola,34%,33-35%,New Mexico,
Colfax,32%,31-33%,New Mexico,
Curry,32%,31-33%,New Mexico,
De Baca,30%,29-31%,New Mexico,
Dona Ana,31%,31-32%,New Mexico,
Eddy,32%,32-33%,New Mexico,
Grant,31%,31-32%,New Mexico,
Guadalupe,31%,30-32%,New Mexico,
Harding,29%,28-30%,New Mexico,
Hidalgo,32%,31-33%,New Mexico,
Lea,30%,29-31%,New Mexico,
Lincoln,27%,26-28%,New Mexico,
Los Alamos,27%,26-28%,New Mexico,
Luna,31%,30-32%,New Mexico,
McKinley,36%,36-37%,New Mexico,
Mora,33%,32-34%,New Mexico,
Otero,34%,33-35%,New Mexico,
Quay,32%,31-33%,New Mexico,
Rio Arriba,32%,32-33%,New Mexico,
Roosevelt,31%,30-32%,New Mexico,
San Juan,33%,33-34%,New Mexico,
San Miguel,35%,34-36%,New Mexico,
Sandoval,31%,30-31%,New Mexico,
Santa Fe,26%,26-27%,New Mexico,
Sierra,31%,30-32%,New Mexico,
Socorro,32%,31-32%,New Mexico,
Taos,31%,30-32%,New Mexico,
Torrance,31%,30-32%,New Mexico,
Union,32%,31-33%,New Mexico,
Valencia,34%,33-35%,New Mexico,
Albany,34%,33-34%,New York,
Allegany,36%,35-37%,New York,
Bronx,40%,39-40%,New York,
Broome,35%,35-36%,New York,
Cattaraugus,38%,37-38%,New York,
Cayuga,35%,34-36%,New York,
Chautauqua,38%,37-38%,New York,
Chemung,37%,36-37%,New York,
Chenango,32%,31-33%,New York,
Clinton,38%,37-38%,New York,
Columbia,32%,31-32%,New York,
Cortland,32%,31-33%,New York,
Delaware,32%,31-33%,New York,
Dutchess,35%,34-36%,New York,
Erie,36%,36-37%,New York,
Essex,34%,33-34%,New York,
Franklin,36%,35-36%,New York,
Fulton,36%,35-37%,New York,
Genesee,36%,35-37%,New York,
Greene,33%,33-34%,New York,
Hamilton,27%,26-28%,New York,
Herkimer,37%,36-38%,New York,
Jefferson,37%,37-38%,New York,
Kings,41%,41-42%,New York,
Lewis,34%,33-35%,New York,
Livingston,32%,31-33%,New York,
Madison,36%,35-36%,New York,
Monroe,33%,32-33%,New York,
Montgomery,36%,36-37%,New York,
Nassau,38%,37-39%,New York,
New York,34%,33-34%,New York,
Niagara,39%,38-40%,New York,
Oneida,35%,34-35%,New York,
Onondaga,34%,34-35%,New York,
Ontario,32%,32-33%,New York,
Orange,36%,36-37%,New York,
Orleans,36%,35-37%,New York,
Oswego,34%,33-35%,New York,
Otsego,34%,33-35%,New York,
Putnam,30%,29-30%,New York,
Queens,39%,39-40%,New York,
Rensselaer,36%,35-37%,New York,
Richmond,43%,42-43%,New York,
Rockland,35%,34-35%,New York,
Saratoga,33%,32-33%,New York,
Schenectady,36%,36-37%,New York,
Schoharie,34%,33-35%,New York,
Schuyler,35%,34-36%,New York,
Seneca,35%,34-36%,New York,
St. Lawrence,38%,37-39%,New York,
Steuben,35%,34-36%,New York,
Suffolk,36%,35-36%,New York,
Sullivan,37%,36-37%,New York,
Tioga,36%,35-36%,New York,
Tompkins,32%,31-33%,New York,
Ulster,34%,33-34%,New York,
Warren,31%,30-32%,New York,
Washington,36%,35-37%,New York,
Wayne,36%,35-37%,New York,
Westchester,33%,33-34%,New York,
Wyoming,36%,35-37%,New York,
Yates,29%,28-30%,New York,
Alamance,33%,32-34%,North Carolina,
Alexander,33%,32-34%,North Carolina,
Alleghany,33%,31-34%,North Carolina,
Anson,37%,36-38%,North Carolina,
Ashe,32%,31-33%,North Carolina,
Avery,31%,30-32%,North Carolina,
Beaufort,32%,31-32%,North Carolina,
Bertie,38%,37-39%,North Carolina,
Bladen,35%,34-36%,North Carolina,
Brunswick,31%,30-32%,North Carolina,
Buncombe,29%,29-30%,North Carolina,
Burke,34%,33-35%,North Carolina,
Cabarrus,31%,30-32%,North Carolina,
Caldwell,31%,30-32%,North Carolina,
Camden,31%,30-32%,North Carolina,
Carteret,33%,32-34%,North Carolina,
Caswell,34%,33-35%,North Carolina,
Catawba,33%,32-34%,North Carolina,
Chatham,31%,30-32%,North Carolina,
Cherokee,32%,31-33%,North Carolina,
Chowan,35%,34-36%,North Carolina,
Clay,31%,30-32%,North Carolina,
Cleveland,34%,33-35%,North Carolina,
Columbus,38%,37-39%,North Carolina,
Craven,36%,35-37%,North Carolina,
Cumberland,38%,37-38%,North Carolina,
Currituck,31%,30-32%,North Carolina,
Dare,29%,28-30%,North Carolina,
Davidson,32%,31-33%,North Carolina,
Davie,30%,29-31%,North Carolina,
Duplin,35%,35-36%,North Carolina,
Durham,34%,33-34%,North Carolina,
Edgecombe,40%,39-41%,North Carolina,
Forsyth,34%,33-35%,North Carolina,
Franklin,35%,34-35%,North Carolina,
Gaston,35%,34-36%,North Carolina,
Gates,34%,33-35%,North Carolina,
Graham,33%,32-34%,North Carolina,
Granville,36%,35-37%,North Carolina,
Greene,34%,34-35%,North Carolina,
Guilford,34%,34-35%,North Carolina,
Halifax,37%,36-38%,North Carolina,
Harnett,35%,34-36%,North Carolina,
Haywood,32%,31-33%,North Carolina,
Henderson,29%,28-30%,North Carolina,
Hertford,37%,36-38%,North Carolina,
Hoke,37%,36-38%,North Carolina,
Hyde,35%,34-36%,North Carolina,
Iredell,31%,30-32%,North Carolina,
Jackson,32%,31-33%,North Carolina,
Johnston,34%,33-35%,North Carolina,
Jones,34%,33-35%,North Carolina,
Lee,33%,32-34%,North Carolina,
Lenoir,37%,36-38%,North Carolina,
Lincoln,31%,30-32%,North Carolina,
Macon,30%,29-32%,North Carolina,
Madison,29%,28-30%,North Carolina,
Martin,35%,34-36%,North Carolina,
McDowell,34%,33-35%,North Carolina,
Mecklenburg,32%,32-33%,North Carolina,
Mitchell,31%,30-32%,North Carolina,
Montgomery,34%,33-35%,North Carolina,
Moore,31%,30-32%,North Carolina,
Nash,35%,34-36%,North Carolina,
New Hanover,30%,29-31%,North Carolina,
Northampton,40%,38-41%,North Carolina,
Onslow,37%,36-38%,North Carolina,
Orange,29%,28-30%,North Carolina,
Pamlico,32%,31-33%,North Carolina,
Pasquotank,39%,38-40%,North Carolina,
Pender,32%,31-33%,North Carolina,
Perquimans,33%,32-34%,North Carolina,
Person,35%,34-36%,North Carolina,
Pitt,38%,37-39%,North Carolina,
Polk,30%,29-31%,North Carolina,
Randolph,32%,31-33%,North Carolina,
Richmond,37%,37-38%,North Carolina,
Robeson,39%,39-40%,North Carolina,
Rockingham,35%,34-36%,North Carolina,
Rowan,32%,31-33%,North Carolina,
Rutherford,33%,32-34%,North Carolina,
Sampson,32%,32-33%,North Carolina,
Scotland,39%,39-40%,North Carolina,
Stanly,32%,31-33%,North Carolina,
Stokes,32%,31-33%,North Carolina,
Surry,34%,33-35%,North Carolina,
Swain,34%,33-35%,North Carolina,
Transylvania,30%,29-31%,North Carolina,
Tyrrell,37%,36-38%,North Carolina,
Union,31%,30-32%,North Carolina,
Vance,38%,37-39%,North Carolina,
Wake,32%,31-32%,North Carolina,
Warren,39%,38-40%,North Carolina,
Washington,36%,35-36%,North Carolina,
Watauga,32%,31-34%,North Carolina,
Wayne,36%,36-37%,North Carolina,
Wilkes,34%,33-35%,North Carolina,
Wilson,35%,34-36%,North Carolina,
Yadkin,31%,30-33%,North Carolina,
Yancey,30%,29-31%,North Carolina,
Adams,27%,26-28%,North Dakota,
Barnes,28%,27-29%,North Dakota,
Benson,32%,31-33%,North Dakota,
Billings,28%,27-30%,North Dakota,
Bottineau,28%,27-30%,North Dakota,
Bowman,26%,25-27%,North Dakota,
Burke,28%,27-29%,North Dakota,
Burleigh,24%,24-25%,North Dakota,
Cass,27%,26-27%,North Dakota,
Cavalier,25%,24-26%,North Dakota,
Dickey,26%,25-27%,North Dakota,
Divide,27%,25-28%,North Dakota,
Dunn,28%,27-29%,North Dakota,
Eddy,27%,26-28%,North Dakota,
Emmons,25%,24-26%,North Dakota,
Foster,28%,27-29%,North Dakota,
Golden Valley,28%,27-29%,North Dakota,
Grand Forks,31%,30-32%,North Dakota,
Grant,28%,27-29%,North Dakota,
Griggs,27%,26-28%,North Dakota,
Hettinger,27%,25-28%,North Dakota,
Kidder,26%,25-28%,North Dakota,
LaMoure,26%,24-27%,North Dakota,
Logan,25%,24-26%,North Dakota,
McHenry,30%,29-31%,North Dakota,
McIntosh,27%,26-28%,North Dakota,
McKenzie,31%,30-32%,North Dakota,
McLean,26%,25-27%,North Dakota,
Mercer,28%,27-29%,North Dakota,
Morton,28%,27-29%,North Dakota,
Mountrail,31%,31-32%,North Dakota,
Nelson,29%,28-30%,North Dakota,
Oliver,26%,25-27%,North Dakota,
Pembina,27%,26-28%,North Dakota,
Pierce,27%,26-28%,North Dakota,
Ramsey,27%,27-28%,North Dakota,
Ransom,25%,24-26%,North Dakota,
Renville,28%,27-29%,North Dakota,
Richland,27%,26-28%,North Dakota,
Rolette,36%,35-37%,North Dakota,
Sargent,28%,27-29%,North Dakota,
Sheridan,28%,26-29%,North Dakota,
Sioux,37%,36-39%,North Dakota,
Slope,27%,26-29%,North Dakota,
Stark,30%,29-31%,North Dakota,
Steele,27%,25-28%,North Dakota,
Stutsman,29%,28-30%,North Dakota,
Towner,26%,25-27%,North Dakota,
Traill,28%,27-29%,North Dakota,
Walsh,30%,29-31%,North Dakota,
Ward,32%,32-33%,North Dakota,
Wells,26%,25-27%,North Dakota,
Williams,32%,31-33%,North Dakota,
Adams,39%,38-40%,Ohio,
Allen,38%,37-38%,Ohio,
Ashland,36%,35-37%,Ohio,
Ashtabula,40%,39-41%,Ohio,
Athens,38%,37-40%,Ohio,
Auglaize,34%,33-36%,Ohio,
Belmont,39%,39-40%,Ohio,
Brown,38%,37-40%,Ohio,
Butler,38%,37-39%,Ohio,
Carroll,36%,35-37%,Ohio,
Champaign,36%,35-37%,Ohio,
Clark,37%,36-38%,Ohio,
Clermont,39%,37-40%,Ohio,
Clinton,35%,34-36%,Ohio,
Columbiana,40%,39-41%,Ohio,
Coshocton,39%,37-40%,Ohio,
Crawford,37%,35-38%,Ohio,
Cuyahoga,36%,35-36%,Ohio,
Darke,35%,34-37%,Ohio,
Defiance,34%,33-35%,Ohio,
Delaware,31%,30-32%,Ohio,
Erie,38%,37-39%,Ohio,
Fairfield,36%,35-37%,Ohio,
Fayette,36%,35-37%,Ohio,
Franklin,37%,36-37%,Ohio,
Fulton,34%,33-35%,Ohio,
Gallia,40%,39-41%,Ohio,
Geauga,35%,34-36%,Ohio,
Greene,34%,33-35%,Ohio,
Guernsey,38%,37-40%,Ohio,
Hamilton,39%,38-40%,Ohio,
Hancock,39%,38-41%,Ohio,
Hardin,40%,38-41%,Ohio,
Harrison,38%,37-40%,Ohio,
Henry,34%,33-36%,Ohio,
Highland,36%,35-37%,Ohio,
Hocking,39%,37-40%,Ohio,
Holmes,37%,36-39%,Ohio,
Huron,38%,37-39%,Ohio,
Jackson,39%,38-40%,Ohio,
Jefferson,40%,39-41%,Ohio,
Knox,34%,32-35%,Ohio,
Lake,34%,33-35%,Ohio,
Lawrence,38%,37-39%,Ohio,
Licking,34%,33-35%,Ohio,
Logan,38%,36-39%,Ohio,
Lorain,39%,38-40%,Ohio,
Lucas,40%,39-41%,Ohio,
Madison,41%,39-42%,Ohio,
Mahoning,38%,37-39%,Ohio,
Marion,38%,37-39%,Ohio,
Medina,34%,33-35%,Ohio,
Meigs,41%,39-42%,Ohio,
Mercer,35%,34-36%,Ohio,
Miami,36%,34-37%,Ohio,
Monroe,36%,35-38%,Ohio,
Montgomery,39%,38-40%,Ohio,
Morgan,37%,36-39%,Ohio,
Morrow,36%,35-38%,Ohio,
Muskingum,40%,39-41%,Ohio,
Noble,37%,35-38%,Ohio,
Ottawa,35%,34-36%,Ohio,
Paulding,36%,35-37%,Ohio,
Perry,38%,37-39%,Ohio,
Pickaway,38%,37-40%,Ohio,
Pike,39%,37-40%,Ohio,
Portage,35%,34-36%,Ohio,
Preble,36%,34-37%,Ohio,
Putnam,35%,34-36%,Ohio,
Richland,38%,37-39%,Ohio,
Ross,41%,40-42%,Ohio,
Sandusky,35%,34-36%,Ohio,
Scioto,42%,41-43%,Ohio,
Seneca,38%,37-40%,Ohio,
Shelby,37%,35-38%,Ohio,
Stark,37%,36-38%,Ohio,
Summit,38%,37-39%,Ohio,
Trumbull,38%,37-39%,Ohio,
Tuscarawas,36%,35-37%,Ohio,
Union,36%,35-37%,Ohio,
Van Wert,37%,36-39%,Ohio,
Vinton,37%,36-39%,Ohio,
Warren,35%,34-37%,Ohio,
Washington,37%,36-38%,Ohio,
Wayne,35%,34-36%,Ohio,
Williams,37%,35-38%,Ohio,
Wood,33%,31-34%,Ohio,
Wyandot,35%,34-37%,Ohio,
Adair,39%,39-40%,Oklahoma,
Alfalfa,32%,31-34%,Oklahoma,
Atoka,34%,33-35%,Oklahoma,
Beaver,33%,32-34%,Oklahoma,
Beckham,34%,33-35%,Oklahoma,
Blaine,32%,31-33%,Oklahoma,
Bryan,33%,32-34%,Oklahoma,
Caddo,35%,34-35%,Oklahoma,
Canadian,33%,33-34%,Oklahoma,
Carter,35%,34-36%,Oklahoma,
Cherokee,35%,34-35%,Oklahoma,
Choctaw,34%,33-35%,Oklahoma,
Cimarron,31%,30-32%,Oklahoma,
Cleveland,33%,32-34%,Oklahoma,
Coal,32%,32-33%,Oklahoma,
Comanche,33%,33-34%,Oklahoma,
Cotton,34%,32-35%,Oklahoma,
Craig,36%,35-37%,Oklahoma,
Creek,31%,30-32%,Oklahoma,
Custer,32%,31-33%,Oklahoma,
Delaware,34%,33-35%,Oklahoma,
Dewey,31%,30-32%,Oklahoma,
Ellis,32%,30-33%,Oklahoma,
Garfield,33%,32-34%,Oklahoma,
Garvin,35%,34-36%,Oklahoma,
Grady,33%,32-34%,Oklahoma,
Grant,31%,30-33%,Oklahoma,
Greer,35%,34-36%,Oklahoma,
Harmon,33%,32-34%,Oklahoma,
Harper,31%,30-32%,Oklahoma,
Haskell,35%,34-36%,Oklahoma,
Hughes,36%,35-37%,Oklahoma,
Jackson,33%,32-34%,Oklahoma,
Jefferson,34%,33-35%,Oklahoma,
Johnston,33%,32-34%,Oklahoma,
Kay,33%,32-34%,Oklahoma,
Kingfisher,31%,30-32%,Oklahoma,
Kiowa,36%,34-37%,Oklahoma,
Latimer,35%,34-36%,Oklahoma,
Le Flore,34%,33-35%,Oklahoma,
Lincoln,33%,31-34%,Oklahoma,
Logan,35%,34-35%,Oklahoma,
Love,33%,32-35%,Oklahoma,
Major,32%,31-33%,Oklahoma,
Marshall,34%,33-35%,Oklahoma,
Mayes,35%,35-36%,Oklahoma,
McClain,32%,31-33%,Oklahoma,
McCurtain,36%,35-37%,Oklahoma,
McIntosh,34%,33-35%,Oklahoma,
Murray,31%,30-32%,Oklahoma,
Muskogee,34%,34-35%,Oklahoma,
Noble,32%,31-33%,Oklahoma,
Nowata,35%,34-35%,Oklahoma,
Okfuskee,35%,34-36%,Oklahoma,
Oklahoma,33%,32-33%,Oklahoma,
Okmulgee,33%,32-34%,Oklahoma,
Osage,35%,34-36%,Oklahoma,
Ottawa,35%,34-36%,Oklahoma,
Pawnee,30%,29-31%,Oklahoma,
Payne,35%,34-36%,Oklahoma,
Pittsburg,34%,33-35%,Oklahoma,
Pontotoc,33%,32-34%,Oklahoma,
